Date,SeaLevel_signals
1992,-31
1992,-33.1
1993,-30.9
1993,-33
1993,-35.8
1993,-36.7
1993,-34
1993,-29.6
1993,-28.4
1993,-28.4
1993,-29
1993,-31
1993,-26.2
1993,-27.7
1993,-26.5
1993,-30.5
1993,-31
1993,-28.3
1993,-25.5
1993,-25.2
1993,-25.1
1993,-30.2
1993,-29
1993,-26.2
1993,-25.2
1993,-28.1
1993,-31
1993,-28.8
1993,-25
1993,-27.4
1993,-27.8
1993,-29.7
1993,-28.9
1993,-27.2
1993,-22.3
1993,-23.5
1994,-29.5
1994,-26.3
1994,-24.7
1994,-28.1
1994,-29.3
1994,-26.8
1994,-23
1994,-24
1994,-23
1994,-22.1
1994,-21.9
1994,-24.7
1994,-26.2
1994,-28.4
1994,-25.2
1994,-21.5
1994,-27.6
1994,-24.9
1994,-24.8
1994,-24
1994,-24.5
1994,-23.4
1994,-24.8
1994,-23.8
1994,-25.7
1994,-26.1
1994,-25.5
1994,-22.1
1994,-22.7
1994,-27.2
1994,-29.1
1994,-22.6
1994,-20.9
1994,-21.6
1995,-20.7
1995,-23.2
1995,-17.6
1995,-20.9
1995,-24.7
1995,-21.3
1995,-17.2
1995,-23.4
1995,-21.2
1995,-20.1
1995,-20.9
1995,-23.1
1995,-20.8
1995,-18.1
1995,-20.3
1995,-24
1995,-26.4
1995,-24.6
1995,-24.2
1995,-22.4
1995,-24.4
1995,-24.1
1995,-21
1995,-15.7
1995,-21.2
1995,-23.4
1995,-23.7
1995,-24
1995,-21.5
1995,-22
1995,-17.6
1996,-20.9
1996,-23.1
1996,-22.3
1996,-22.9
1996,-18.7
1996,-18.9
1996,-21.5
1996,-19.1
1996,-17.9
1996,-19.8
1996,-20.8
1996,-20.5
1996,-18.6
1996,-18.5
1996,-16.7
1996,-17.4
1996,-18.6
1996,-19
1996,-17.4
1996,-15.8
1996,-18.4
1996,-21.6
1996,-22.3
1996,-24.5
1996,-20.7
1996,-18.7
1996,-17.4
1996,-14.1
1996,-13.1
1996,-15.8
1996,-21.5
1996,-20.9
1996,-20.3
1996,-24.3
1997,-23.8
1997,-19.6
1997,-21.5
1997,-20.1
1997,-21.2
1997,-20.2
1997,-20.7
1997,-18.3
1997,-16.7
1997,-17.7
1997,-20.3
1997,-17.6
1997,-15
1997,-17
1997,-14.4
1997,-18.1
1997,-15.5
1997,-14.4
1997,-10.5
1997,-13.6
1997,-14.5
1997,-13.7
1997,-12.3
1997,-9.4
1997,-10.2
1997,-13.5
1997,-12.2
1997,-11.2
1997,-16.3
1997,-17.5
1997,-16.1
1997,-19.6
1997,-15.6
1998,-16.2
1998,-14.4
1998,-15.9
1998,-16.2
1998,-15.7
1998,-15.6
1998,-14
1998,-13.4
